PM 2.5,Dew Point (Celcius Degree),Humidity,Pressure,Temperature,Cumulated wind speed,Precipitation
23,-17,38,1035,-5,52.31,0
27,-17,41,1035,-6,60.36,0
23,-17,48,1035,-8,0.89,0
17,-19,51,1036,-11,4.02,0
17,-20,47,1036,-11,8.94,0
16,-21,43,1035,-11,4.02,0
16,-22,43,1035,-12,3.13,0
20,-22,43,1035,-12,4.92,0
20,-22,46,1036,-13,5.81,0
18,-22,34,1036,-9,13.86,0
25,-22,36,1036,-10,21.91,0
26,-22,34,1036,-9,29.06,0
27,-21,37,1036,-9,33.08,0
28,-20,32,1035,-6,42.02,0
15,-19,32,1034,-5,50.96,0
24,-19,32,1033,-5,59.01,0
13,-20,29,1033,-5,66.16,0
13,-20,29,1032,-5,71.97,0
13,-20,29,1033,-5,76.89,0
17,-20,34,1033,-7,81.81,0
20,-22,29,1033,-7,85.83,0
27,-22,31,1033,-8,89.85,0
20,-23,33,1033,-10,91.64,0
15,-23,42,1033,-13,93.43,0
21,-22,43,1032,-12,0.89,0
21,-22,55,1031,-15,1.78,0
37,-22,50,1031,-14,1.79,0
26,-22,50,1031,-14,0.89,0
15,-24,59,1030,-18,1.79,0
9,-24,39,1030,-13,3.58,0
11,-25,38,1030,-14,3.13,0
11,-24,42,1030,-14,7.15,0
16,-25,33,1030,-12,12.96,0
13,-26,35,1030,-14,16.98,0
15,-25,33,1031,-12,21,0
21,-25,30,1031,-11,26.81,0
24,-24,33,1030,-11,35.75,0
22,-23,36,1029,-11,47.82,0
22,-22,39,1029,-11,63.02,0
22,-23,36,1029,-11,75.98,0
19,-22,39,1029,-11,88.05,0
23,-23,36,1030,-11,101.01,0
25,-24,33,1030,-11,109.06,0
25,-24,33,1032,-11,118,0
31,-23,36,1032,-11,126.05,0
25,-23,39,1032,-12,134.1,0
22,-24,36,1033,-12,142.15,0
22,-23,39,1033,-12,150.2,0
15,-23,39,1034,-12,160.03,0
16,-24,36,1034,-12,169.86,0
11,-24,36,1033,-12,178.8,0
11,-25,33,1033,-12,189.98,0
12,-24,39,1033,-13,198.03,0
11,-25,33,1032,-12,205.18,0
12,-25,33,1033,-12,215.01,0
27,-25,33,1032,-12,226.19,0
28,-25,33,1032,-12,235.13,0
34,-25,33,1032,-12,243.18,0
33,-23,36,1033,-11,252.12,0
36,-23,33,1033,-10,257.93,0
26,-22,34,1033,-9,263.74,0
49,-21,34,1031,-8,270.89,0
52,-21,29,1030,-6,278.94,0
47,-20,29,1029,-5,286.99,0
47,-22,24,1028,-5,294.14,0
39,-21,27,1028,-5,299.06,0
59,-19,37,1028,-7,1.79,0
76,-19,40,1028,-8,0.45,0
96,-20,40,1028,-9,1.34,0
95,-19,47,1027,-10,1.79,0
68,-19,60,1027,-13,0.89,0
65,-18,60,1027,-12,1.78,0
75,-18,66,1027,-13,0.89,0
257,-18,71,1026,-14,1.78,0
174,-20,65,1025,-15,2.67,0
164,-20,65,1025,-15,0.89,0
161,-20,71,1025,-16,1.78,0
137,-20,71,1024,-16,3.57,0
92,-21,71,1024,-17,6.7,0
64,-19,65,1023,-14,10.72,0
87,-21,71,1023,-17,13.85,0
87,-19,71,1024,-15,15.64,0
84,-19,65,1024,-14,18.77,0
95,-18,51,1024,-10,22.79,0
79,-17,52,1023,-9,24.58,0
75,-16,45,1023,-6,26.37,0
79,-17,38,1022,-5,28.16,0
86,-16,41,1022,-5,29.95,0
72,-15,42,1022,-4,33.08,0
89,-16,38,1023,-4,0.89,0
94,-15,45,1025,-5,1.79,0
69,-14,42,1026,-3,5.81,0
49,-16,35,1027,-3,11.62,0
33,-15,42,1029,-4,20.56,0
27,-16,41,1031,-5,24.58,0
20,-17,41,1032,-6,3.13,0
36,-18,38,1033,-6,8.05,0
37,-19,37,1034,-7,13.86,0
30,-17,48,1035,-8,5.81,0
18,-18,51,1035,-10,11.62,0
21,-19,47,1036,-10,14.75,0
13,-19,40,1036,-9,19.67,0
23,-19,40,1036,-9,7.15,0
26,-20,40,1037,-9,12.96,0
27,-19,44,1037,-9,18.77,0
30,-19,40,1038,-8,22.79,0
28,-19,40,1039,-8,28.6,0
26,-19,37,1039,-7,35.75,0
26,-18,38,1039,-6,41.56,0
31,-18,35,1039,-5,45.58,0
35,-17,35,1038,-4,1.79,0
36,-16,35,1037,-3,0.89,0
37,-17,33,1037,-3,1.78,0
64,-17,30,1037,-2,2.23,0
83,-15,45,1036,-5,0.89,0
91,-15,48,1036,-6,0.89,0
90,-15,48,1037,-6,1.78,0
102,-14,53,1037,-6,1.79,0
94,-14,61,1036,-8,3.58,0
87,-14,72,1037,-10,0.89,0
141,-15,78,1036,-11,1.78,0
211,-15,72,1036,-11,2.67,0
242,-16,78,1036,-13,0.89,0
271,-16,72,1036,-12,0.89,0
249,-16,78,1035,-13,0.89,0
200,-15,78,1035,-12,1.78,0
147,-14,72,1034,-10,1.79,0
114,-15,66,1034,-10,2.68,0
102,-15,72,1034,-11,4.47,0
108,-15,72,1034,-11,6.26,0
135,-14,67,1034,-9,8.05,0
120,-14,67,1034,-9,9.84,0
148,-13,57,1034,-6,0.89,0
127,-13,53,1033,-5,1.79,0
128,-12,53,1031,-4,0.89,0
140,-12,49,1031,-3,1.78,0
148,-12,49,1030,-3,2.67,0
150,-11,53,1030,-3,3.56,0
154,-11,58,1031,-4,0.89,0
197,-12,67,1031,-7,0.89,0
235,-12,67,1032,-7,1.78,0
261,-12,72,1032,-8,2.23,0
269,-12,78,1032,-9,3.12,0
266,-13,85,1032,-11,0.89,0
263,-14,78,1032,-11,2.68,0
241,-15,78,1032,-12,5.81,0
205,-14,78,1032,-11,0.45,0
160,-14,78,1031,-11,1.34,0
150,-14,85,1031,-12,1.79,0
148,-14,78,1031,-12,3.58,0
208,-14,72,1030,-10,6.71,0
209,-14,78,1030,-11,9.84,0
183,-15,66,1030,-10,11.63,0
161,-13,78,1030,-10,14.76,0
182,-13,67,1030,-8,17.89,0
230,-12,62,1030,-6,0.45,0
170,-11,62,1030,-5,1.34,0
172,-11,58,1029,-4,2.23,0
154,-11,53,1028,-3,3.12,0
166,-10,50,1027,-1,4.01,0
177,-11,46,1027,-1,4.46,0
191,-10,50,1026,-1,0.89,0
212,-10,58,1026,-3,1.78,0
250,-10,67,1027,-5,2.67,0
268,-10,73,1027,-6,0.89,0
317,-11,73,1027,-7,0.45,0
291,-10,79,1027,-7,0.9,0
313,-11,85,1027,-9,1.35,0
282,-12,78,1027,-9,0.89,0
282,-12,85,1028,-10,0.89,0
303,-13,85,1028,-11,3.13,0
349,-11,85,1028,-9,4.92,0
407,-13,78,1028,-10,6.71,0
361,-13,85,1028,-11,7.6,0
234,-13,85,1027,-11,1.79,0
149,-14,78,1028,-11,0.89,0
147,-14,78,1028,-11,4.02,0
184,-14,78,1028,-11,5.81,0
161,-11,67,1028,-6,9.83,0
137,-10,67,1028,-5,11.62,0
146,-9,63,1028,-3,13.41,0
144,-8,58,1027,-1,15.2,0
154,-9,50,1026,0,16.99,0
173,-9,47,1025,1,1.79,0
188,-9,47,1025,1,0.89,0
203,-8,50,1025,1,0.89,0
233,-7,63,1025,-1,2.68,0
408,-7,68,1025,-2,0.89,0
435,-7,73,1025,-3,0.89,0
403,-5,79,1026,-2,0.89,0
360,-5,74,1026,-1,1.79,0
402,-5,74,1026,-1,3.58,0
358,-6,68,1026,-1,0.89,0
383,-4,80,1025,-1,1.79,0
332,-5,74,1024,-1,4.92,0
274,-5,74,1024,-1,6.71,0
256,-5,74,1023,-1,8.5,0
302,-4,80,1022,-1,10.29,0
330,-4,80,1021,-1,11.18,0
367,-4,80,1021,-1,12.07,0
297,-4,80,1021,-1,13.86,0
331,-4,74,1021,0,0.89,0
323,-4,74,1021,0,1.79,0
339,-4,74,1021,0,0.89,0
301,-5,64,1021,1,1.79,0
310,-5,64,1020,1,0.89,0
305,-4,69,1019,1,1.34,0
313,-4,69,1018,1,0.89,0
336,-3,69,1018,2,0.45,0
357,-3,69,1018,2,1.34,0
485,-2,74,1018,2,0.89,0
426,-3,74,1018,1,0.89,0
403,-3,69,1020,2,1.79,0
374,-3,74,1020,1,4.92,0
333,-3,80,1021,0,6.71,0
343,-3,80,1021,0,8.5,0
364,-3,74,1020,1,11.63,0
389,-2,86,1021,0,14.76,0
368,-2,92,1022,-1,16.55,0
267,-4,86,1022,-2,19.68,0
71,-2,92,1023,-1,25.49,0
81,-3,74,1023,1,28.62,0
51,-3,80,1024,0,31.75,0
49,-5,59,1026,2,36.67,0
44,-9,47,1027,1,41.59,0
45,-10,46,1028,0,48.74,0
35,-10,46,1030,0,55.89,0
29,-11,40,1032,1,63.04,0
27,-13,36,1033,0,71.09,0
29,-13,36,1033,0,78.24,0
16,-13,39,1033,-1,8.05,0
23,-13,39,1032,-1,7.15,0
28,-15,33,1032,-1,5.81,0
22,-14,36,1033,-1,5.81,0
11,-15,36,1033,-2,12.96,0
25,-16,35,1034,-3,21.01,0
16,-17,35,1035,-4,28.16,0
20,-19,27,1036,-3,37.99,0
20,-18,32,1037,-4,46.93,0
18,-19,30,1038,-4,55.87,0
18,-19,32,1038,-5,65.7,0
17,-20,32,1038,-6,75.53,0
17,-20,32,1038,-6,85.36,0
17,-20,34,1038,-7,95.19,0
15,-22,31,1038,-8,103.24,0
19,-23,28,1038,-8,111.29,0
16,-24,28,1038,-9,118.44,0
18,-24,28,1038,-9,128.27,0
18,-25,26,1038,-9,138.1,0
18,-25,24,1039,-8,147.04,0
26,-25,24,1039,-8,155.98,0
26,-22,29,1039,-7,160.9,0
25,-22,29,1038,-7,3.13,0
24,-22,24,1037,-5,4.02,0
15,-21,27,1035,-5,3.13,0
17,-21,25,1034,-4,1.79,0
15,-20,25,1034,-3,1.79,0
21,-21,21,1033,-2,4.92,0
40,-20,23,1033,-2,10.73,0
51,-20,23,1034,-2,15.65,0
45,-19,27,1034,-3,21.46,0
61,-19,27,1035,-3,25.48,0
72,-17,48,1035,-8,0.89,0
38,-18,48,1035,-9,1.79,0
35,-18,48,1035,-9,3.58,0
29,-18,38,1036,-6,7.6,0
26,-20,27,1037,-4,17.43,0
18,-21,27,1037,-5,27.26,0
15,-21,29,1037,-6,35.31,0
15,-20,34,1036,-7,42.46,0
22,-20,34,1035,-7,48.27,0
21,-20,34,1035,-7,54.08,0
19,-20,34,1036,-7,59,0
22,-19,37,1036,-7,63.92,0
25,-20,29,1036,-5,67.94,0
22,-19,30,1036,-4,75.09,0
26,-19,30,1036,-4,84.03,0
32,-19,27,1035,-3,95.21,0
30,-18,30,1034,-3,105.04,0
32,-19,25,1033,-2,114.87,0
30,-18,28,1032,-2,124.7,0
32,-18,28,1032,-2,133.64,0
37,-18,28,1032,-2,139.45,0
49,-18,30,1032,-3,144.37,0
47,-17,38,1033,-5,149.29,0
39,-18,32,1033,-4,153.31,0
35,-17,35,1032,-4,159.12,0
48,-17,35,1032,-4,164.04,0
49,-17,44,1032,-7,168.06,0
24,-17,35,1033,-4,172.08,0
23,-17,48,1033,-8,0.89,0
20,-17,38,1032,-5,4.92,0
19,-18,38,1032,-6,8.05,0
16,-18,35,1031,-5,12.97,0
22,-18,38,1031,-6,16.1,0
24,-18,41,1031,-7,20.12,0
24,-18,41,1031,-7,24.14,0
41,-18,38,1031,-6,25.93,0
23,-18,28,1031,-2,30.85,0
19,-17,28,1031,-1,38.9,0
15,-17,26,1030,0,46.95,0
19,-19,20,1029,1,55,0
17,-20,17,1027,2,63.05,0
17,-19,19,1025,2,71.1,0
22,-19,18,1024,3,79.15,0
88,-15,39,1027,-3,0.89,0
85,-15,33,1025,-1,1.79,0
90,-18,24,1024,0,3.58,0
127,-19,20,1023,1,0.89,0
144,-18,21,1021,2,1.79,0
203,-17,24,1021,1,4.92,0
199,-14,36,1021,-1,5.81,0
231,-13,45,1021,-3,6.7,0
274,-13,45,1021,-3,0.89,0
340,-11,62,1020,-5,0.89,0
298,-13,57,1020,-6,1.79,0
268,-11,62,1020,-5,0.89,0
299,-11,58,1019,-4,1.79,0
300,-11,58,1019,-4,3.58,0
240,-12,49,1018,-3,5.37,0
213,-11,58,1017,-4,7.16,0
171,-11,58,1016,-4,10.29,0
153,-12,49,1016,-3,12.08,0
153,-11,58,1016,-4,15.21,0
140,-11,62,1015,-5,17,0
147,-11,58,1015,-4,18.79,0
158,-11,53,1015,-3,3.13,0
153,-10,50,1015,-1,6.26,0
154,-9,47,1015,1,9.39,0
143,-9,40,1015,3,1.79,0
90,-9,38,1014,4,4.92,0
55,-9,33,1013,6,8.05,0
52,-13,20,1012,8,16.1,0
41,-14,19,1013,8,24.15,0
29,-14,20,1014,7,32.2,0
37,-13,22,1015,7,39.35,0
49,-13,25,1016,5,47.4,0
56,-12,30,1018,4,52.32,0
38,-13,29,1019,3,56.34,0
37,-14,27,1020,3,62.15,0
28,-14,27,1021,3,67.96,0
20,-14,33,1022,0,71.98,0
22,-13,39,1023,-1,76.9,0
27,-15,33,1023,-1,7.15,0
34,-15,33,1024,-1,12.07,0
27,-15,36,1025,-2,16.09,0
32,-15,36,1025,-2,21.01,0
28,-15,39,1025,-3,25.03,0
28,-15,39,1025,-3,3.13,0
18,-15,39,1026,-3,8.05,0
17,-16,35,1027,-3,12.97,0
16,-17,30,1028,-2,20.12,0
18,-18,28,1029,-2,25.93,0
16,-19,24,1028,-1,35.76,0
12,-21,17,1027,1,44.7,0
13,-24,13,1026,1,53.64,0
23,-25,12,1026,1,62.58,0
21,-25,12,1026,1,72.41,0
13,-24,13,1026,1,82.24,0
14,-25,13,1026,0,91.18,0
23,-22,17,1027,0,99.23,0
16,-20,22,1027,-1,103.25,0
25,-21,20,1027,-1,105.04,0
20,-21,25,1028,-4,0.89,0
25,-21,21,1027,-2,4.02,0
19,-22,19,1027,-2,7.15,0
24,-22,18,1027,-1,12.07,0
25,-21,25,1027,-4,15.2,0
20,-21,25,1026,-4,0.89,0
24,-19,40,1026,-8,1.79,0
17,-20,34,1025,-7,0.89,0
10,-20,37,1024,-8,1.79,0
11,-18,51,1024,-10,0.89,0
16,-21,21,1024,-2,4.02,0
20,-21,20,1025,-1,9.83,0
13,-24,13,1025,1,17.88,0
12,-25,11,1025,2,26.82,0
12,-24,11,1024,3,33.97,0
12,-25,9,1023,4,42.02,0
12,-24,10,1022,5,50.07,0
31,-25,8,1020,6,57.22,0
36,-25,8,1020,6,65.27,0
42,-23,10,1020,6,72.42,0
52,-22,12,1020,5,78.23,0
26,-21,13,1020,5,84.04,0
24,-20,14,1020,5,89.85,0
25,-20,16,1020,3,93.87,0
43,-20,16,1020,3,97.89,0
47,-19,18,1021,3,101.02,0
61,-19,18,1020,3,105.94,0
66,-18,24,1020,0,109.96,0
65,-18,24,1020,0,114.88,0
70,-15,33,1020,-1,1.79,0
36,-15,36,1020,-2,0.89,0
37,-16,30,1020,-1,4.02,0
22,-16,38,1019,-4,8.94,0
24,-15,45,1020,-5,0.89,0
29,-16,41,1020,-5,3.13,0
35,-15,48,1021,-6,0.89,0
35,-15,31,1021,0,4.02,0
33,-18,19,1021,3,8.04,0
32,-21,13,1020,5,12.96,0
25,-22,11,1020,6,18.77,0
16,-22,10,1019,7,25.92,0
26,-22,10,1018,7,35.75,0
32,-23,9,1018,7,45.58,0
36,-23,9,1017,7,52.73,0
37,-22,11,1018,6,58.54,0
45,-21,13,1018,5,64.35,0
71,-21,13,1019,5,70.16,0
67,-19,16,1019,4,74.18,0
69,-19,15,1020,5,78.2,0
94,-19,19,1020,2,81.33,0
85,-18,21,1021,2,84.46,0
35,-18,22,1021,1,87.59,0
26,-18,22,1021,1,90.72,0
24,-16,35,1022,-3,93.85,0
20,-15,36,1022,-2,95.64,0
16,-15,31,1022,0,99.66,0
18,-17,24,1023,1,105.47,0
19,-15,31,1023,0,109.49,0
22,-18,24,1025,0,113.51,0
17,-17,26,1025,0,116.64,0
18,-17,22,1026,2,120.66,0
11,-19,18,1026,3,129.6,0
11,-19,16,1026,4,138.54,0
16,-20,14,1025,5,145.69,0
18,-17,18,1024,5,4.02,0
17,-18,15,1024,6,7.15,0
19,-18,15,1024,6,0.89,0
26,-18,17,1024,5,1.79,0
24,-17,19,1024,4,3.58,0
54,-17,24,1024,1,1.79,0
71,-15,33,1025,-1,2.68,0
129,-13,39,1025,-1,0.89,0
145,-8,58,1026,-1,5.81,0
101,-7,68,1027,-2,10.73,0
65,-7,68,1027,-2,13.86,0
70,-8,68,1027,-3,15.65,0
67,-9,68,1027,-4,0.89,0
76,-9,68,1027,-4,1.78,0
76,-9,68,1027,-4,0.89,0
68,-9,68,1026,-4,0.89,0
73,-9,73,1027,-5,0.89,0
73,-10,62,1027,-4,0.89,0
64,-10,62,1027,-4,0.89,0
53,-10,73,1028,-6,0.89,0
72,-9,63,1028,-3,1.79,0
78,-9,58,1028,-2,0.89,0
72,-9,54,1028,-1,1.79,0
56,-10,46,1027,0,6.71,0
54,-12,39,1026,0,10.73,0
40,-14,31,1026,1,14.75,0
49,-14,33,1025,0,16.54,0
63,-12,39,1026,0,19.67,0
66,-10,50,1025,-1,21.46,0
64,-9,58,1026,-2,23.25,0
63,-10,54,1026,-2,26.38,0
65,-10,62,1027,-4,30.4,0
64,-10,67,1027,-5,34.42,0
64,-10,67,1027,-5,39.34,0
62,-11,73,1027,-7,41.13,0
56,-10,79,1028,-7,42.92,0
87,-11,78,1028,-8,0.89,0
72,-11,85,1028,-9,1.34,0
104,-11,92,1028,-10,1.79,0
97,-12,85,1028,-10,0.89,0
96,-13,85,1028,-11,0.89,0
86,-11,85,1028,-9,0.89,0
85,-11,78,1028,-8,0.89,0
92,-10,79,1029,-7,1.79,0
55,-14,53,1029,-6,4.92,0
36,-18,35,1029,-5,10.73,0
27,-20,25,1029,-3,14.75,0
25,-20,23,1028,-2,16.54,0
28,-20,22,1028,-1,18.33,0
32,-20,20,1027,0,1.79,0
35,-22,17,1027,0,2.68,0
43,-22,16,1027,1,3.57,0
70,-19,25,1027,-2,1.79,0
83,-20,27,1028,-4,3.13,0
66,-21,23,1029,-3,4.02,0
70,-19,34,1029,-6,0.89,0
80,-16,48,1029,-7,0.89,0
88,-21,27,1030,-5,1.79,0
69,-19,40,1030,-8,4.92,0
71,-20,37,1030,-8,8.05,0
62,-21,34,1030,-8,0.89,0
73,-18,51,1030,-10,0.89,0
107,-17,56,1030,-10,0.89,0
94,-17,66,1030,-12,0.89,0
121,-17,71,1030,-13,1.79,0
132,-17,71,1030,-13,4.92,0
161,-19,51,1030,-11,0.89,0
120,-18,56,1030,-11,1.34,0
72,-18,44,1030,-8,1.79,0
58,-19,30,1030,-4,3.13,0
34,-20,23,1030,-2,4.92,0
14,-22,17,1029,0,12.07,0
17,-23,14,1027,1,19.22,0
15,-24,13,1026,1,28.16,0
23,-25,11,1026,2,37.1,0
34,-22,14,1026,2,46.93,0
96,-21,17,1026,1,54.08,0
87,-22,16,1026,1,59,0
87,-17,26,1027,0,63.02,0
95,-20,27,1027,-4,0.89,0
105,-20,29,1028,-5,1.79,0
114,-21,29,1028,-6,4.92,0
103,-21,31,1028,-7,0.45,0
99,-21,31,1028,-7,1.79,0
102,-21,34,1028,-8,4.92,0
104,-21,37,1028,-9,0.89,0
78,-19,47,1028,-10,1.34,0
33,-19,47,1028,-10,1.79,0
29,-19,55,1028,-12,0.89,0
27,-18,60,1028,-12,0.89,0
27,-20,65,1028,-15,4.02,0
26,-17,56,1028,-10,8.04,0
33,-19,32,1028,-5,12.06,0
